rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.3302,3,11.4519,11.5607,0.0057,0.0922,0.065,1.0556,0.669803
0.8576,6,9.9474,1.9332,0.3974,0.9147,3.9529,9.0985,0.14239
0.711,2,14.0748,9.8976,0.1066,0.2077,1.5008,2.9228,0.288979
0.8519,7,10.74,1.801,0.3312,0.8865,3.5573,9.5207,0.148076
0.7619,7,5.8916,1.1047,0.2402,1.1454,1.4152,6.7484,0.238107
0.2282,7,8.2395,5.1574,0.0004,0.1943,0.0035,1.6011,0.771771
0.4148,3,15.7191,12.6331,0.009,0.0882,0.1418,1.3861,0.585241
0.499,4,7.6703,3.8425,0.0289,0.2891,0.2216,2.2178,0.50096
0.4072,3,7.4508,6.0988,0.0178,0.1818,0.1329,1.3546,0.592772
0.4278,7,18.9509,6.3277,0.0031,0.1611,0.0586,3.0535,0.572157
0.7357,1,6.2296,8.4676,0.3287,0.4468,2.0479,2.7836,0.264301
0.1072,10,14.2412,13.2809,0,0.0753,0,1.0723,0.892769
0.3585,3,1.3692,1.2731,0.0625,0.848,0.0856,1.1611,0.641514
0.287,1,4.2391,14.7694,0.0273,0.095,0.1155,0.4026,0.712981
0.1489,1,6.026,40.4592,0.0043,0.029,0.0261,0.175,0.85106
0.9524,10,5.2276,0.5489,3.195,5.0168,16.7021,26.2259,0.047625
0.0986,2,7.621,38.6548,0.0005,0.0264,0.0038,0.201,0.901422
0.1519,7,10.8714,10.2211,0.0001,0.0979,0.0006,1.0643,0.848054
0.7702,8,18.0119,2.9232,0.0798,0.4219,1.4374,7.599,0.229796
0.076,3,6.7638,29.6744,0.0001,0.0338,0.0007,0.2287,0.924022
0.001,8,14.4146,1735.4388,0,0.0006,0,0.0083,0.998962
0.3844,8,8.724,2.8366,0.0032,0.3558,0.0281,3.1037,0.615557
0.8558,7,18.0755,3.0172,0.2059,0.5373,3.7215,9.7124,0.144161
0.7852,6,10.8435,2.3017,0.1737,0.6081,1.8831,6.5941,0.214833
0.83,8,6.693,1.0079,0.3988,1.3909,2.6691,9.3093,0.169972
0.862,3,14.283,5.5235,0.3332,0.5142,4.7586,7.3445,0.13805
0.3028,3,2.5895,2.8505,0.0189,0.3697,0.0489,0.9573,0.697183
0.1527,2,3.8196,12.5072,0.0031,0.083,0.0118,0.3172,0.847304
0.2403,5,13.6333,11.3454,0.0007,0.0888,0.0094,1.2111,0.759669
0.4775,5,5.1434,2.1541,0.0288,0.493,0.1479,2.5356,0.522466
0.1487,9,16.9107,12.6329,0,0.0792,0.0002,1.3389,0.851264
0.5169,6,13.9046,4.4829,0.0126,0.2357,0.1753,3.277,0.483055
0.2774,5,4.1473,2.9906,0.0039,0.3383,0.0163,1.4031,0.722641
0.6399,4,5.51,2.1527,0.1228,0.5873,0.6767,3.2363,0.360114
0.0718,6,12.8804,29.891,0,0.0335,0.0001,0.431,0.928181
0.9819,6,6.6702,1.1322,7.7435,8.6267,51.6506,57.5421,0.018083
0.8771,8,10.3808,1.4793,0.4496,1.1256,4.6675,11.6847,0.122854
0.7733,6,19.6965,4.245,0.0856,0.3212,1.6861,6.326,0.226677
0.8909,9,10.3244,1.2876,0.5297,1.3063,5.4687,13.4869,0.109087
0.9172,3,8.5476,3.1063,1.1072,1.4291,9.464,12.2157,0.082759
0.3664,10,4.2142,1.1503,0.0034,0.8727,0.0142,3.6777,0.633647
0.8178,9,3.6265,0.4927,0.6155,2.645,2.2322,9.5922,0.182214
0.0655,2,11.5526,88.1997,0.0001,0.0115,0.0013,0.1323,0.934509
0.4582,7,2.3274,0.7257,0.0349,1.413,0.0813,3.2885,0.541829
0.9623,5,1.7624,0.3663,13.1607,15.8907,23.1944,28.0057,0.037735
0.7288,9,7.3326,1.1178,0.1222,1.0168,0.8963,7.4559,0.271159
0.1957,2,10.8596,27.7525,0.0021,0.0381,0.0229,0.4142,0.804349
0.0056,9,12.6594,251.7773,0,0.004,0,0.0503,0.994413
0.2728,1,15.8744,58.1925,0.0064,0.0236,0.1023,0.3751,0.727209
0.9777,4,13.4569,3.441,3.0999,3.3905,41.7153,45.6261,0.02232
0.5221,2,4.024,3.8536,0.1058,0.3654,0.4259,1.4702,0.477885
0.726,4,1.5529,0.5348,0.8537,2.7237,1.3257,4.2297,0.274009
0.7965,1,8.6338,10.8401,0.361,0.4532,3.1168,3.9132,0.203533
0.0511,8,3.7509,9.172,0,0.109,0,0.409,0.948881
0.4262,8,16.8093,4.9296,0.0028,0.2056,0.0468,3.4566,0.573769
0.0515,6,10.8766,35.1906,0,0.0284,0,0.3091,0.948487
0.4225,1,14.8583,35.1714,0.0208,0.0492,0.309,0.7315,0.577546
0.9516,1,6.5753,6.9097,2.8454,2.9901,18.7093,19.6609,0.048401
0.93,1,19.4627,20.9283,0.6345,0.6823,12.3501,13.28,0.070028
0.1799,8,19.8584,13.7977,0,0.0725,0.0008,1.4401,0.820094
0.9305,4,18.6003,4.9972,0.6164,0.8165,11.4648,15.1869,0.069464
0.6972,4,11.4005,4.088,0.0926,0.3372,1.0555,3.8442,0.302812
0.1959,2,12.2164,31.1746,0.0019,0.034,0.0229,0.4148,0.804065
0.5746,2,11.5859,10.0826,0.0522,0.1514,0.6048,1.7539,0.425449
0.4911,9,19.6463,4.4448,0.0042,0.2291,0.0817,4.5018,0.508877
0.8216,4,16.306,4.9618,0.1846,0.3862,3.0105,6.2968,0.178424
0.0273,9,15.7866,64.15,0,0.0156,0,0.2461,0.972657
0.4644,5,1.5057,0.6484,0.087,1.6293,0.1311,2.4533,0.535551
0.1653,4,5.0174,7.5906,0.0008,0.1325,0.004,0.665,0.834749
0.8741,2,18.4807,10.5715,0.309,0.4036,5.7113,7.4595,0.12592
0.368,3,4.874,4.4143,0.0192,0.2457,0.0936,1.1978,0.631956
0.3442,2,8.924,12.9622,0.0125,0.0897,0.1119,0.8003,0.655768
0.4046,8,15.4689,4.7793,0.0023,0.2116,0.0361,3.2728,0.59542
0.9196,6,4.7231,0.856,1.9258,3.0941,9.0959,14.6137,0.080358
0.8025,8,12.6636,1.9725,0.1572,0.6642,1.991,8.4111,0.19749
0.4742,3,9.5064,6.6831,0.0242,0.1739,0.2304,1.6529,0.525849
0.5514,9,2.9906,0.6026,0.052,1.7114,0.1556,5.1181,0.448605
0.0388,5,17.9408,92.4146,0,0.0108,0,0.1941,0.961173
0.0558,1,7.325,131.1818,0.0005,0.0081,0.0033,0.0591,0.944161
0.3801,2,1.7777,2.3385,0.0849,0.5125,0.1509,0.911,0.619913
0.3386,10,11.3066,3.3392,0.0008,0.3003,0.0094,3.3955,0.661394
0.8278,4,14.6509,4.4245,0.2181,0.4441,3.1955,6.5068,0.172173
0.4938,1,15.5118,31.4161,0.031,0.0629,0.4816,0.9753,0.506247
0.3535,5,16.6223,9.4033,0.0025,0.1089,0.0422,1.8099,0.646457
0.3897,2,14.3754,18.4419,0.0113,0.0656,0.163,0.9425,0.610252
0.8985,9,7.4798,0.925,0.8156,1.8967,6.1009,14.187,0.101542
0.6226,6,17.8623,4.7816,0.0252,0.2343,0.45,4.1856,0.3774
0.9516,8,12.7837,1.6792,1.311,1.9066,16.7597,24.3729,0.048352
0.719,4,1.8898,0.6571,0.6634,2.1852,1.2536,4.1296,0.281018
0.3782,4,17.6635,11.6772,0.0042,0.0898,0.0743,1.5869,0.621837
0.5894,6,15.4991,4.3831,0.0217,0.2499,0.3368,3.8729,0.410646
0.4972,10,19.3651,3.8952,0.0039,0.2606,0.075,5.0465,0.502844
0.2311,1,7.7772,33.6541,0.0089,0.0386,0.0695,0.3005,0.768908
0.41,2,8.5472,10.4233,0.0223,0.1183,0.1908,1.0109,0.589994
0.6816,1,1.529,2.2432,0.9543,1.4001,1.4592,2.1408,0.318389
0.5784,7,12.3287,3.0448,0.0215,0.35,0.2656,4.3147,0.421555
0.2215,7,5.699,3.6758,0.0005,0.2726,0.0031,1.5535,0.778511
0.6527,9,9.0854,1.5467,0.047,0.6936,0.4272,6.3013,0.347319
0.8276,7,8.5434,1.4747,0.3185,0.9966,2.7209,8.5141,0.172406
0.5495,2,18.9965,17.2846,0.027,0.0848,0.5122,1.6112,0.450479
0.8762,1,13.5515,15.4661,0.4577,0.5223,6.2019,7.0781,0.123792
0.7805,4,9.342,2.9923,0.2227,0.5569,2.0808,5.2028,0.219498
0.0962,6,4.118,7.1381,0,0.1401,0.0002,0.5771,0.903849
0.03,1,13.5494,451.4776,0.0001,0.0023,0.0009,0.0309,0.969989
0.7719,6,7.9648,1.7197,0.2089,0.7904,1.6642,6.2956,0.228091
0.9834,5,7.9905,1.6251,7.1198,7.7352,56.891,61.808,0.016588
0.1968,4,14.3128,18.1861,0.0005,0.0555,0.0073,0.7943,0.803245
0.4052,10,2.5282,0.624,0.0096,1.6122,0.0243,4.076,0.59483
0.3759,4,9.8037,6.5205,0.0074,0.1608,0.0726,1.5761,0.624123
0.467,3,2.8135,2.0083,0.0774,0.5753,0.2177,1.6186,0.533023
0.9795,7,19.1722,2.7962,2.3424,2.7,44.908,51.7645,0.020497
0.3259,7,15.3326,6.7215,0.0011,0.1499,0.0167,2.2979,0.674124
0.546,9,17.6674,3.5952,0.0083,0.2865,0.1471,5.0613,0.453977
0.9524,6,19.2032,3.3605,0.9113,1.2088,17.499,23.2133,0.047612
0.9351,6,19.2251,3.4265,0.6237,0.9156,11.9912,17.6019,0.064883
0.2086,4,18.7219,22.4339,0.0005,0.0451,0.0089,0.8434,0.791366
0.0309,8,17.3894,70.3896,0,0.0142,0,0.247,0.969119
0.1765,1,5.661,32.0806,0.0067,0.0379,0.0378,0.2143,0.823538
0.6949,10,6.9847,1.0051,0.0851,1.0801,0.5947,7.5442,0.305054
0.7356,1,2.3149,3.1471,0.8839,1.2017,2.0462,2.7817,0.264428
0.9696,4,10.5375,2.7169,2.8325,3.2006,29.8474,33.7259,0.030389
0.3916,10,14.2977,3.6507,0.0014,0.2753,0.0202,3.9366,0.60836
0.531,6,14.4485,4.5353,0.0138,0.2343,0.1996,3.3853,0.469038
0.3544,8,7.0895,2.5002,0.0027,0.4026,0.019,2.8546,0.645556
0.392,5,4.914,2.5071,0.0131,0.4119,0.0642,2.0241,0.608
0.866,8,1.3335,0.1925,3.0391,8.2344,4.0527,10.9806,0.134011
0.8558,3,8.5984,3.3492,0.519,0.8176,4.4626,7.0299,0.144237
0.7786,3,1.8831,0.8062,1.1821,2.4225,2.226,4.5618,0.221371
0.7185,10,5.0555,0.7037,0.149,1.5701,0.7532,7.9378,0.281544
0.3832,4,7.5982,4.9571,0.0103,0.212,0.0781,1.6109,0.616801
0.7226,6,14.9008,3.437,0.0717,0.3627,1.0686,5.4041,0.277428
0.4871,1,6.8925,14.1492,0.0671,0.1378,0.4627,0.9498,0.512868
0.26,1,2.733,10.5109,0.0334,0.1286,0.0914,0.3514,0.739984
0.7426,9,16.0305,2.3986,0.064,0.4809,1.0264,7.7097,0.257412
0.3252,2,12.8063,19.6877,0.0074,0.0582,0.0946,0.7451,0.674765
0.2246,2,8.1739,18.1982,0.0041,0.059,0.0332,0.4824,0.77542
0.7183,9,5.4518,0.8433,0.1483,1.3342,0.8086,7.2737,0.281661
0.2591,2,18.1788,35.0811,0.0027,0.0312,0.0494,0.5676,0.740904
0.4982,2,2.25,2.258,0.1608,0.6036,0.3617,1.3581,0.501773
0.5012,7,5.1427,1.4657,0.0246,0.7069,0.1265,3.6351,0.498772
0.6857,4,7.9518,2.8991,0.1213,0.4663,0.9649,3.7078,0.314289
0.2633,2,4.701,8.9274,0.011,0.123,0.0516,0.5782,0.736709
0.2166,5,13.1513,12.141,0.0005,0.0829,0.0064,1.0896,0.783357
0.093,6,1.074,1.9257,0.0001,0.5194,0.0002,0.5579,0.907045
0.145,6,1.707,1.9615,0.0005,0.5103,0.0009,0.8711,0.854959
0.6014,2,12.864,10.6957,0.0561,0.1496,0.7218,1.9245,0.398637
0.0962,9,19.914,22.9988,0,0.0435,0,0.8659,0.903792
0.5413,9,12.6019,2.5869,0.0111,0.3977,0.14,5.0114,0.458736
0.9699,2,3.4259,1.7662,8.9866,9.5528,30.7873,32.727,0.030135
0.1351,5,3.0443,4.5057,0.0004,0.2223,0.0011,0.6768,0.86487
0.8933,2,7.9264,4.4367,0.8965,1.1219,7.1062,8.8928,0.106731
0.6533,5,3.2201,0.9858,0.205,1.2193,0.66,3.9264,0.346715
0.4243,4,7.5514,4.4489,0.0153,0.2401,0.1155,1.8129,0.575658
0.242,2,1.2277,2.5362,0.0333,0.4276,0.0408,0.5249,0.757969
0.0048,7,2.061,61.3725,0,0.0163,0,0.0336,0.995203
0.0018,5,6.7817,765.6408,0,0.0013,0,0.0089,0.998228
0.6633,3,14.7608,7.4183,0.063,0.1978,0.9297,2.9195,0.336741
0.3151,5,13.5096,8.5739,0.002,0.1186,0.0267,1.6024,0.684865
0.9684,4,19.1746,4.9501,1.4906,1.6927,28.5823,32.4559,0.031608
0.4251,3,3.999,3.1357,0.0387,0.3576,0.1547,1.4301,0.574898
0.232,9,3.4657,1.6596,0.0005,0.6031,0.0019,2.0901,0.767975
0.2631,9,16.5943,7.0072,0.0002,0.1429,0.0035,2.3716,0.736869
0.9623,6,1.6087,0.2786,14.2698,17.8589,22.9559,28.7296,0.037724
0.5273,1,7.9438,15.0656,0.074,0.1404,0.5881,1.1154,0.472719
0.5667,8,15.312,3.3776,0.0135,0.3096,0.2073,4.7407,0.433324
0.0103,1,5.2961,512.3118,0,0.002,0.0001,0.0104,0.989662
0.3053,3,16.6889,18.2216,0.003,0.0579,0.0502,0.9661,0.694704
0.1779,7,16.5473,13.285,0.0001,0.0753,0.0012,1.2468,0.822062
0.4939,1,12.6801,25.6749,0.038,0.077,0.4819,0.9758,0.506129
0.9967,5,2.0381,0.409,146.7589,149.204,299.1093,304.0928,0.003305
0.9569,1,19.2252,20.0906,1.1058,1.1555,21.2583,22.2152,0.043075
0.0123,9,3.1,27.9471,0,0.0358,0,0.1109,0.987675
0.7309,10,2.1848,0.2989,0.3909,3.7363,0.8541,8.163,0.269104
0.6778,2,9.353,6.8998,0.128,0.2729,1.1969,2.5525,0.322231
0.0173,2,13.0122,376.936,0,0.0027,0,0.0346,0.98274
