λ,Lq,s,μ,ρ,Wq
11.02980042,8.398599625,1,12.2156,0.9029,0.7614
17.32959938,12.6281004,6,18.6076,0.1552,0.0001
14.89840031,2.417399883,6,19.5863,0.1268,0
2.355200052,6.033899784,9,2.6962,0.0971,0
2.005199909,8.196299553,2,2.2256,0.4505,0.1287
14.2045002,4.186100006,6,17.0341,0.139,0.0001
5.643099785,6.849699974,9,6.3726,0.0984,0
12.88879967,9.615400314,7,14.113,0.1305,0
10.2876997,13.65219975,2,10.9929,0.4679,0.0284
13.06280041,12.29349995,5,14.0507,0.1859,0.0003
17.2064991,10.85130024,2,18.668,0.4609,0.0162
9.50909996,4.946400166,3,11.1488,0.2843,0.0042
19.81830025,5.479300022,2,22.9427,0.4319,0.0114
2.372699976,3.366300106,6,2.9413,0.1344,0.0003
2.802900076,12.16650009,8,3.0169,0.1161,0
8.145199776,11.72430038,5,8.789,0.1853,0.0004
2.959800005,0.953000009,4,4.8537,0.1525,0.001
18.39920044,12.88300037,7,19.731,0.1332,0
3.818500042,10.10179996,6,4.1651,0.1528,0.0003
1.273100019,3.708800077,9,1.5543,0.091,0
5.996900082,3.911099911,7,7.2629,0.118,0
2.704600096,15.38459969,10,2.8703,0.0942,0
7.311500072,15.52649975,6,7.7554,0.1571,0.0002
5.415800095,18.72220039,6,5.6911,0.1586,0.0002
6.636099815,14.75399971,8,7.0589,0.1175,0
1.647500038,14.47469997,10,1.7544,0.0939,0
12.51169968,0.872099996,1,21.0422,0.5946,0.0697
13.64319992,8.649200439,9,15.0711,0.1006,0
18.50580025,0.444599986,2,38.5085,0.2403,0.0022
4.88380003,12.81919956,2,5.2389,0.4661,0.0591
2.321199894,10.1328001,1,2.5313,0.917,4.3653
5.071899891,9.43710041,10,5.562,0.0912,0
5.656300068,4.508299828,6,6.7134,0.1404,0.0001
11.86610031,2.146600008,1,15.9727,0.7429,0.1809
9.813599586,8.865300179,7,10.8178,0.1296,0
11.36559963,11.09560013,3,12.3113,0.3077,0.0045
6.059700012,17.03300095,10,6.3967,0.0947,0
3.344000101,13.24810028,9,3.5798,0.1038,0
13.73449993,14.18859959,1,14.6425,0.938,1.0331
12.23460007,7.697100163,3,13.6584,0.2986,0.0038
8.110199928,4.669199944,9,9.5806,0.0941,0
7.863800049,5.977099895,9,9.0118,0.097,0
5.001299858,4.784500122,8,5.889,0.1062,0
1.936200023,7.376299858,4,2.1704,0.223,0.0058
17.12360001,0.629599988,7,31.7787,0.077,0
16.26869965,19.24959946,3,17.074,0.3176,0.0035
15.20359993,10.89700031,10,16.49,0.0922,0
17.77479935,2.330499887,10,23.5351,0.0755,0
7.837800026,14.68959999,3,8.3393,0.3133,0.007
10.19900036,1.044100046,6,16.308,0.1042,0
12.10239983,4.332799911,3,14.443,0.2793,0.0031
16.60129929,18.81940079,8,17.441,0.119,0
9.91230011,3.187299967,2,12.3986,0.3997,0.0178
9.591600418,18.40169907,3,10.0872,0.317,0.0059
4.13079977,8.461099625,7,4.5719,0.1291,0.0001
17.31380081,7.165200233,2,19.4633,0.4448,0.0143
3.428800106,19.02280045,3,3.6005,0.3174,0.0166
6.180399895,7.425799847,10,6.9234,0.0893,0
11.89400005,8.213500023,2,13.1989,0.4506,0.0217
15.35700035,11.75290012,4,16.5681,0.2317,0.0008
4.390600204,1.65929997,1,6.2496,0.7025,0.3779
10.99619961,3.282500029,3,13.6875,0.2678,0.003
1.66869998,0.084100001,5,6.6487,0.0502,0
11.22259998,1.029500008,9,18.0139,0.0692,0
17.22310066,7.121900082,10,19.3731,0.0889,0
6.866600037,10.20030022,3,7.4842,0.3058,0.0074
8.903599739,2.129499912,4,12.0046,0.1854,0.0007
19.94919968,17.50499916,3,21.0302,0.3162,0.0028
6.273499966,17.99869919,7,6.6046,0.1357,0.0001
14.91609955,11.47019958,4,16.1194,0.2313,0.0009
14.71940041,3.969000101,8,17.7882,0.1034,0
4.622300148,7.75150013,3,5.1568,0.2988,0.0101
19.31060028,13.43999958,7,20.654,0.1336,0
9.066100121,19.44580078,5,9.5105,0.1907,0.0004
12.40849972,16.78409958,4,13.1083,0.2367,0.0011
18.87409973,12.40390015,1,20.2896,0.9302,0.6572
7.025599957,19.15870094,8,7.3749,0.1191,0
1.53489995,5.543000221,4,1.7744,0.2163,0.0066
16.93530083,3.319000006,3,21.042,0.2683,0.002
7.383999825,16.15929985,4,7.8157,0.2362,0.0018
3.531100035,17.43020058,6,3.7232,0.1581,0.0003
14.33769989,10.24030018,2,15.6227,0.4589,0.0191
17.43600082,7.880300045,4,19.4223,0.2244,0.0007
5.377900124,17.77759933,5,5.6651,0.1899,0.0007
2.861900091,17.0923996,2,3.0205,0.4737,0.1065
12.78629971,13.07890034,4,13.6988,0.2333,0.001
5.718800068,6.337200165,4,6.5114,0.2196,0.0019
15.12880039,0.081,9,61.2571,0.0274,0
6.474500179,3.545599937,5,7.9598,0.1627,0.0003
9.989700317,2.662100077,2,12.8965,0.3873,0.016
4.763599873,16.12129974,6,5.0427,0.1574,0.0002
15.45650005,19.95429993,8,16.1957,0.1193,0
13.74720001,8.752799988,2,15.1705,0.4531,0.0191
19.35370064,6.656000137,6,21.9209,0.1471,0
2.222199917,6.226699829,1,2.535,0.8766,2.802
9.227700233,18.34469986,4,9.7059,0.2377,0.0015
12.48050022,1.239400029,3,19.0706,0.2181,0.0014
