rho,s,lambda,mu,Wq,W,Lq,Ls,P?
0.5055,10,18.4283,3.6458,0.0045,0.2788,0.0824,5.137,0.494537
0.5012,9,19.8275,4.3955,0.0046,0.2321,0.0913,4.6022,0.498789
0.5059,10,17.7603,3.5109,0.0047,0.2895,0.0828,5.1414,0.494138
0.5204,10,19.0155,3.6542,0.0051,0.2788,0.0974,5.3011,0.479627
0.5188,10,18.8007,3.6235,0.0051,0.2811,0.0958,5.2843,0.48115
0.511,10,16.9968,3.326,0.0052,0.3058,0.0877,5.198,0.48897
0.5042,9,18.1412,3.9978,0.0052,0.2553,0.0943,4.6322,0.495798
0.5181,10,17.6462,3.4062,0.0054,0.299,0.0949,5.2756,0.481932
0.507,9,17.9851,3.9417,0.0054,0.2591,0.0972,4.6601,0.49302
0.5163,9,19.6195,4.2219,0.0055,0.2423,0.1076,4.7546,0.483663
0.5055,9,17.386,3.8217,0.0055,0.2672,0.0957,4.6449,0.494529
0.5123,10,15.5402,3.0336,0.0057,0.3354,0.089,5.2116,0.487734
0.5284,10,18.2591,3.4557,0.0058,0.2952,0.1064,5.3901,0.471629
0.5011,10,13.403,2.675,0.0058,0.3797,0.0784,5.0889,0.49895
0.5266,10,17.36,3.2968,0.006,0.3093,0.1043,5.37,0.473431
0.5226,9,19.1576,4.073,0.006,0.2515,0.115,4.8186,0.477379
0.5136,10,14.9914,2.9188,0.006,0.3486,0.0903,5.2265,0.486386
0.518,9,17.9225,3.8445,0.0061,0.2662,0.1095,4.7714,0.482014
0.5147,9,17.2457,3.7227,0.0061,0.2748,0.1057,4.7383,0.485268
0.5125,9,16.9282,3.6702,0.0061,0.2786,0.1032,4.7155,0.487523
0.5116,9,16.3911,3.5601,0.0062,0.2871,0.1022,4.7063,0.488428
0.5419,10,19.7241,3.6396,0.0063,0.281,0.1234,5.5427,0.458064
0.5313,9,19.6471,4.1092,0.0064,0.2498,0.1261,4.9073,0.468747
0.5255,9,18.5499,3.9224,0.0064,0.2613,0.1186,4.8478,0.474527
0.5144,10,14.227,2.7659,0.0064,0.3679,0.0911,5.2347,0.485636
0.5198,10,14.8731,2.8616,0.0065,0.356,0.0967,5.2943,0.480244
0.5127,10,13.7841,2.6883,0.0065,0.3785,0.0894,5.2169,0.487252
0.5074,8,17.5692,4.3284,0.0065,0.2375,0.1141,4.1732,0.492615
0.5453,10,19.4666,3.5701,0.0066,0.2867,0.1279,5.5805,0.454734
0.5213,8,19.5743,4.6937,0.0067,0.2198,0.1317,4.302,0.478708
0.5188,9,16.4543,3.524,0.0067,0.2905,0.1104,4.7797,0.481196
0.5171,8,18.8431,4.5547,0.0067,0.2262,0.1262,4.2632,0.48287
0.5168,10,13.9919,2.7075,0.0067,0.376,0.0936,5.2614,0.483216
0.5065,7,19.8396,5.5956,0.0067,0.1854,0.1334,3.6789,0.49349
0.5459,10,18.8584,3.4545,0.0068,0.2963,0.1288,5.5879,0.454091
0.5218,10,14.5375,2.786,0.0068,0.3657,0.0989,5.317,0.478196
0.5179,8,18.6935,4.5122,0.0068,0.2284,0.1272,4.27,0.482143
0.5032,8,16.103,4,0.0068,0.2568,0.1093,4.135,0.496779
0.5502,10,19.6519,3.5717,0.0069,0.2868,0.1349,5.637,0.449787
0.5293,10,15.6356,2.9538,0.0069,0.3454,0.1075,5.4008,0.470669
0.5288,9,17.7111,3.7215,0.0069,0.2756,0.1228,4.882,0.471205
0.5278,9,17.5607,3.697,0.0069,0.2774,0.1215,4.8715,0.472225
0.5186,8,18.5656,4.4749,0.0069,0.2304,0.1281,4.2769,0.481402
0.5178,10,13.758,2.6569,0.0069,0.3833,0.0947,5.2728,0.482183
0.5128,8,17.3699,4.234,0.0069,0.2431,0.1207,4.2232,0.487193
0.5098,8,16.9066,4.1455,0.0069,0.2481,0.117,4.1953,0.490209
0.5084,7,19.7611,5.5532,0.0069,0.187,0.1358,3.6944,0.491639
0.5336,10,15.9921,2.9972,0.007,0.3407,0.1126,5.4483,0.466436
0.5292,9,17.7228,3.721,0.007,0.2757,0.1234,4.8863,0.470787
0.5282,9,17.5508,3.6921,0.007,0.2778,0.122,4.8756,0.47182
0.5227,8,19.0567,4.5572,0.007,0.2264,0.1336,4.3153,0.477289
0.5175,8,18.1198,4.3764,0.007,0.2355,0.1267,4.2671,0.482454
0.5002,7,17.8998,5.1122,0.007,0.2026,0.1252,3.6266,0.499803
0.5251,10,14.5009,2.7617,0.0071,0.3692,0.1026,5.3533,0.474932
0.5086,7,19.2061,5.3944,0.0071,0.1925,0.1362,3.6966,0.491374
0.505,10,11.4638,2.2702,0.0071,0.4476,0.0819,5.1316,0.495039
0.5459,10,17.8065,3.2621,0.0072,0.3138,0.1287,5.5873,0.45414
0.5245,10,14.218,2.7106,0.0072,0.3761,0.102,5.3473,0.47547
0.5154,7,19.8941,5.5138,0.0073,0.1887,0.1457,3.7537,0.484568
0.5111,7,19.1006,5.3385,0.0073,0.1946,0.1396,3.7175,0.488872
